freq,currency,nace_r2,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,A,DEA5	: 	: 	: 	: 	: 	89.62 	97.61 	92.25 	102.6 	81.79 	103.84 	116.3 	129.59 	134.74 	122.41 	127.88 	153.52 	156.76 	161.57 	160.99 	153.62 	144.33 	154.37 	156.91 	176.2 	: 
A,MIO_EUR,A,DEB	: 	: 	: 	: 	: 	344.36 	339.67 	401.84 	378.43 	355.62 	488.35 	563.68 	540.14 	617.27 	480.39 	556.33 	592.29 	615.06 	642.61 	644.46 	697.39 	634.85 	641.1 	643.48 	725.99 	: 
A,MIO_EUR,A,DEB1	: 	: 	: 	: 	: 	81.79 	79.1 	94.26 	86.62 	79.92 	110.53 	132.03 	127.84 	145.14 	104.77 	108.66 	135.2 	136.58 	136.78 	153.89 	145.57 	133.35 	138.47 	129.48 	169.35 	: 
A,MIO_EUR,A,DEB2	: 	: 	: 	: 	: 	61.16 	50.77 	66.92 	58.65 	58.35 	74.56 	86.16 	87.53 	90.37 	70.3 	86.22 	87.17 	93.7 	101.12 	110.93 	95.41 	94.27 	96.86 	115.06 	107.36 	: 
A,MIO_EUR,A,DEB3	: 	: 	: 	: 	: 	201.41 	209.81 	240.67 	233.16 	217.36 	303.26 	345.49 	324.77 	381.76 	305.32 	361.45 	369.92 	384.79 	404.72 	379.64 	456.41 	407.24 	405.77 	398.94 	449.28 	: 
A,MIO_EUR,A,DEC	: 	: 	: 	: 	: 	15.38 	17.49 	14.68 	13.45 	21.5 	13.02 	19.13 	18.05 	21.04 	30.05 	18.9 	19.34 	20.45 	26.72 	19.79 	19.13 	23.2 	23.47 	25.07 	30.47 	: 
A,MIO_EUR,A,DEC0	: 	: 	: 	: 	: 	15.38 	17.49 	14.68 	13.45 	21.5 	13.02 	19.13 	18.05 	21.04 	30.05 	18.9 	19.34 	20.45 	26.72 	19.79 	19.13 	23.2 	23.47 	25.07 	30.47 	: 
A,MIO_EUR,A,DED	: 	: 	: 	: 	: 	273.56 	258.69 	280.98 	222.41 	266.82 	342.65 	360.27 	417.36 	459.49 	349.67 	303.94 	426.29 	380.76 	386.8 	422.08 	375.17 	352.83 	354.93 	348.19 	329.24 	: 
A,MIO_EUR,A,DED2	: 	: 	: 	: 	: 	95.17 	88.35 	98.24 	74.82 	90.34 	124.43 	125.02 	145.79 	163.33 	133.3 	112.86 	160.65 	152.45 	147.73 	160.67 	146.28 	133.59 	136.1 	141.42 	116.15 	: 
A,MIO_EUR,A,DED4	: 	: 	: 	: 	: 	105.79 	101.09 	109.07 	84.95 	104.13 	128.77 	136.13 	159.45 	176.79 	124.09 	106.57 	160.02 	134.69 	145.4 	166.71 	144.12 	129.28 	137.37 	133.68 	151.01 	: 
A,MIO_EUR,A,DED5	: 	: 	: 	: 	: 	72.61 	69.26 	73.68 	62.64 	72.35 	89.46 	99.12 	112.13 	119.37 	92.28 	84.52 	105.63 	93.62 	93.67 	94.7 	84.78 	89.96 	81.45 	73.1 	62.08 	: 
